fecha,lluvia,temperatura
23/05/2023,0,22.7
24/05/2023,38,23.1
25/05/2023,19,21.5
26/05/2023,7.75,22.8
27/05/2023,0,16.6
28/05/2023,0,15.9
29/05/2023,0,15.3
30/05/2023,0,19.9
31/05/2023,0,23.3
1/06/2021,0,21.1
2/06/2021,0,21.5
3/06/2021,0,23.4
4/06/2021,0.25,25.7
5/06/2021,1,20.1
6/06/2021,0,16.5
7/06/2021,0,18.3
8/06/2021,0,20.8
9/06/2021,0,22.1
10/06/2021,0,22.9
11/06/2021,0,19.7
12/06/2021,0,23.9
13/06/2021,0,22.8
14/06/2021,0,17.7
15/06/2021,0,13.4
16/06/2021,0,9.9
17/06/2021,0,11.6
18/06/2021,0,13.8
19/06/2021,0,14.6
20/06/2021,0,15.9
21/06/2021,0,14.6
22/06/2021,0.25,17.1
23/06/2021,0.25,16.4
24/06/2021,0,17.5
25/06/2021,0,19.3
26/06/2021,0.25,12.8
27/06/2021,0,9.6
28/06/2021,0,8.6
29/06/2021,0,12.5
30/06/2021,0.25,14
1/06/2022,0,12.2
2/06/2022,0,14.1
3/06/2022,0,15.6
4/06/2022,0,17.3
5/06/2022,0,18.4
6/06/2022,0,18.8
7/06/2022,0.25,17.3
8/06/2022,0.25,12.5
9/06/2022,0.25,13.4
10/06/2022,0,14.3
11/06/2022,0,18.6
12/06/2022,0,22.4
13/06/2022,0,21.4
14/06/2022,0,20.1
15/06/2022,0,22.6
16/06/2022,0,19.3
17/06/2022,0,17.4
18/06/2022,0,20
19/06/2022,0,19.6
20/06/2022,0,20
21/06/2022,0,17.7
22/06/2022,0,12.7
23/06/2022,0,12.8
24/06/2022,0,14.9
25/06/2022,0,14
26/06/2022,0,10
27/06/2022,0,12.9
28/06/2022,1.75,19.6
29/06/2022,0,20.9
30/06/2022,0,19.3
1/06/2023,0.25,25.4
2/06/2023,0,23.3
3/06/2023,0,25.7
4/06/2023,0,21
5/06/2023,0,17.3
6/06/2023,0,22.9
7/06/2023,0,20.7
8/06/2023,0,28.3
9/06/2023,0,22.3
10/06/2023,0,17
11/06/2023,0,13.4
12/06/2023,0,14.2
13/06/2023,0,15.9
14/06/2023,0,14.8
15/06/2023,0,15.9
16/06/2023,0,19.7
17/06/2023,0,13.9
18/06/2023,0,16.7
19/06/2023,0,16.8
20/06/2023,0,16.4
21/06/2023,0,13.7
22/06/2023,0.25,12.1
23/06/2023,0,13
24/06/2023,0.5,18.1
25/06/2023,0.25,19.3
26/06/2023,0,16.7
27/06/2023,0,18.9
28/06/2023,0,18.6
29/06/2023,0,14.7
30/06/2023,0,16.4
1/07/2021,0,16.8
2/07/2021,0.25,19.4
3/07/2021,0,18.2
4/07/2021,0,17.7
5/07/2021,0,20
6/07/2021,0,22.2
7/07/2021,0.75,25.1
8/07/2021,0,23.6
9/07/2021,0,27
10/07/2021,0,18
11/07/2021,0,17.6
12/07/2021,0,24.2
13/07/2021,0,16.2
14/07/2021,38,11
15/07/2021,0.25,16.7
16/07/2021,0,15.7
17/07/2021,0,14
18/07/2021,0,13.5
19/07/2021,0,15.7
20/07/2021,0,18.8
21/07/2021,0,20.2
22/07/2021,0,22.5
23/07/2021,0,27.4
24/07/2021,0,23.6
25/07/2021,14.25,18.4
26/07/2021,0,18.5
27/07/2021,0,14
28/07/2021,0,12.4
29/07/2021,0,15.7
30/07/2021,0,16.6
31/07/2021,0,19.9
1/07/2022,0,18.2
2/07/2022,0,17.2
3/07/2022,0,15.6
4/07/2022,0,19.9
5/07/2022,0,16.9
6/07/2022,0.25,17.1
7/07/2022,0,17.1
8/07/2022,0,15.5
9/07/2022,0,25.9
10/07/2022,0,23.6
11/07/2022,0,14.5
12/07/2022,0,14.2
13/07/2022,0,19.8
14/07/2022,0,18.7
15/07/2022,0,16.5
16/07/2022,0,9.4
17/07/2022,0,15.7
18/07/2022,0,19.1
19/07/2022,0,19.8
20/07/2022,0,22.5
21/07/2022,0,20.4
22/07/2022,0,23
23/07/2022,0.25,24.5
24/07/2022,0,20.4
25/07/2022,1,23.4
26/07/2022,0,29.7
27/07/2022,0,20.2
28/07/2022,0,18.3
29/07/2022,0,22.2
30/07/2022,0,22.9
31/07/2022,0,23.9
